xco,yco,ensemble,duration1_1980,duration1_2080,duration2_1980,duration2_2080,duration3_1980,duration3_2080,duration4_1980,duration4_2080,duration5_1980,duration5_2080,duration6_1980,duration6_2080,duration7_1980,duration7_2080,duration8_1980,duration8_2080,duration9_1980,duration9_2080
52,116,01,81607.0,102925.0,36172.0,47097.0,18420.0,24325.0,9705.0,13204.0,5289.0,7120.0,3145.0,4025.0,1710.0,2370.0,969.0,1302.0,594.0,813.0
52,118,01,85011.0,91768.0,34065.0,36343.0,18126.0,20035.0,10202.0,11018.0,5664.0,6431.0,3357.0,3764.0,1903.0,2203.0,1150.0,1428.0,682.0,840.0
52,120,01,80942.0,82998.0,34582.0,35864.0,18432.0,19288.0,9924.0,10465.0,5626.0,5936.0,3191.0,3530.0,1881.0,1960.0,1156.0,1237.0,694.0,721.0
52,122,01,85498.0,110777.0,34336.0,47941.0,17262.0,25558.0,9302.0,13777.0,5043.0,7461.0,2841.0,4095.0,1524.0,2367.0,840.0,1284.0,491.0,734.0
52,124,01,113724.0,162113.0,47554.0,72526.0,21488.0,34146.0,10267.0,16342.0,5122.0,8150.0,2662.0,4241.0,1421.0,2184.0,763.0,1236.0,388.0,656.0
52,164,01,145424.0,124031.0,61822.0,47265.0,28375.0,24285.0,13046.0,13618.0,6316.0,7992.0,3251.0,4875.0,1612.0,3034.0,960.0,1941.0,572.0,1279.0
53,107,01,86873.0,82031.0,38088.0,38329.0,20641.0,21149.0,11506.0,12612.0,6670.0,7739.0,4017.0,4839.0,2338.0,3023.0,1472.0,1974.0,839.0,1247.0
53,109,01,92272.0,112750.0,40764.0,47603.0,22744.0,26812.0,13183.0,15836.0,7934.0,9574.0,4880.0,5831.0,2975.0,3579.0,1904.0,2306.0,1182.0,1423.0
53,111,01,78390.0,95974.0,31895.0,44135.0,16720.0,25082.0,9260.0,14361.0,5380.0,8386.0,3196.0,4859.0,1890.0,2974.0,1129.0,1767.0,640.0,1087.0
53,113,01,82667.0,83188.0,34894.0,36236.0,18774.0,19778.0,10458.0,11309.0,6007.0,6570.0,3511.0,3727.0,2080.0,2323.0,1213.0,1409.0,808.0,863.0
53,115,01,103541.0,107858.0,44804.0,44946.0,24072.0,25341.0,13574.0,14521.0,7903.0,8541.0,4604.0,5264.0,2786.0,3001.0,1550.0,1844.0,970.0,1077.0
53,117,01,86461.0,91649.0,35670.0,40405.0,18853.0,22522.0,10590.0,13018.0,6207.0,7647.0,3666.0,4343.0,2086.0,2618.0,1220.0,1558.0,769.0,918.0
53,119,01,82174.0,90389.0,35640.0,38596.0,19034.0,21035.0,10532.0,11828.0,5823.0,6861.0,3576.0,3988.0,1947.0,2338.0,1170.0,1302.0,683.0,776.0
53,121,01,80922.0,88510.0,35516.0,38041.0,18437.0,19587.0,9925.0,10568.0,5610.0,5805.0,3131.0,3297.0,1797.0,1847.0,1043.0,1122.0,572.0,610.0
53,123,01,116217.0,105946.0,49335.0,51739.0,22269.0,24987.0,10821.0,12082.0,5414.0,6050.0,2871.0,3029.0,1626.0,1688.0,899.0,848.0,491.0,518.0
53,125,01,116732.0,121193.0,48640.0,48458.0,21492.0,21021.0,9961.0,9993.0,4901.0,4770.0,2538.0,2351.0,1342.0,1167.0,756.0,656.0,404.0,376.0
54,110,01,89776.0,101882.0,35986.0,47755.0,19395.0,28067.0,11113.0,16593.0,6708.0,9886.0,3992.0,5677.0,2493.0,3553.0,1447.0,2018.0,998.0,1158.0
54,112,01,80619.0,85667.0,35605.0,35748.0,19159.0,19304.0,10866.0,11010.0,6330.0,6447.0,3844.0,3868.0,2375.0,2500.0,1431.0,1656.0,888.0,933.0
