xco,yco,ensemble,tha1980,tha2020,tha2080
62,115,01,21.60201063064584,,28.068454351025043
62,117,01,23.04261773231768,,28.971046287192053
62,119,01,23.955566862796406,,29.744416305332955
62,121,01,23.860242406916008,,30.12032960430731
62,123,01,23.40779149173734,,29.48713161762872
62,125,01,23.50855742269658,,29.335157930466657
62,127,01,22.22716779663416,,27.129105571559567
62,185,01,20.466251140728893,,24.427025777728918
62,187,01,20.574901163295145,,24.56679955544424
62,189,01,19.84530628279495,,24.63607180170086
62,191,01,21.910255765436766,,25.972416734594784
62,193,01,21.30582941843149,,25.58548187401022
62,195,01,20.43322683313583,,25.001201001625702
63,103,01,22.607458475014944,,29.39306300421618
